122.8750,   38.9945,   14.50
122.8917,   38.9945,   17.40
122.9083,   38.9945,   20.80
122.9250,   38.9945,   23.50
122.9417,   38.9945,   24.50
122.9583,   38.9945,   24.20
122.9750,   38.9945,   24.10
122.9917,   38.9945,   25.20
123.0083,   38.9945,   26.20
123.0250,   38.9945,   25.60
123.0417,   38.9945,   23.40
123.0583,   38.9945,   20.70
123.0750,   38.9945,   18.40
123.0917,   38.9945,   17.40
123.1083,   38.9945,   18.60
123.1250,   38.9945,   22.40
123.1417,   38.9945,   27.40
123.1583,   38.9945,   31.20
123.1750,   38.9945,   31.80
123.1917,   38.9945,   29.20
123.2083,   38.9945,   25.90
123.2250,   38.9945,   24.10
123.2417,   38.9945,   24.10
123.2583,   38.9945,   24.60
123.2750,   38.9945,   24.60
123.2917,   38.9945,   23.70
123.3083,   38.9945,   21.90
123.3250,   38.9945,   20.00
123.3417,   38.9945,   18.40
123.3583,   38.9945,   17.10
123.3750,   38.9945,   15.80
123.3917,   38.9945,   14.40
123.4083,   38.9945,   13.40
123.4250,   38.9945,   13.00
123.4417,   38.9945,   13.30
123.4583,   38.9945,   13.70
123.4750,   38.9945,   14.10
123.4917,   38.9945,   14.70
123.5083,   38.9945,   15.30
123.5250,   38.9945,   15.50
123.5417,   38.9945,   14.90
123.5583,   38.9945,   13.70
123.5750,   38.9945,   12.50
123.5917,   38.9945,   12.00
123.6083,   38.9945,   11.70
123.6250,   38.9945,   11.20
123.6417,   38.9945,   10.30
123.6583,   38.9945,   9.70
123.6750,   38.9945,   9.70
123.6917,   38.9945,   10.60
123.7083,   38.9945,   11.90
123.7250,   38.9945,   13.00
123.7417,   38.9945,   13.90
123.7583,   38.9945,   14.70
123.7750,   38.9945,   15.60
123.7917,   38.9945,   16.30
123.8083,   38.9945,   16.60
123.8250,   38.9945,   16.00
123.8417,   38.9945,   15.30
123.8583,   38.9945,   14.90
123.8750,   38.9945,   15.00
123.8917,   38.9945,   15.20
123.9083,   38.9945,   15.70
123.9250,   38.9945,   16.50
123.9417,   38.9945,   17.50
123.9583,   38.9945,   18.20
123.9750,   38.9945,   18.50
123.9917,   38.9945,   18.50
120.0083,   38.9815,   -23.30
120.0250,   38.9815,   -21.80
120.0417,   38.9815,   -21.10
120.0583,   38.9815,   -21.20
120.0750,   38.9815,   -21.30
120.0917,   38.9815,   -21.10
120.1083,   38.9815,   -20.60
120.1250,   38.9815,   -19.80
120.1417,   38.9815,   -18.60
120.1583,   38.9815,   -16.60
120.1750,   38.9815,   -14.40
120.1917,   38.9815,   -12.60
120.2083,   38.9815,   -11.50
120.2250,   38.9815,   -10.90
120.2417,   38.9815,   -10.80
120.2583,   38.9815,   -11.10
120.2750,   38.9815,   -11.90
120.2917,   38.9815,   -12.80
120.3083,   38.9815,   -13.40
120.3250,   38.9815,   -13.50
120.3417,   38.9815,   -13.40
120.3583,   38.9815,   -13.30
120.3750,   38.9815,   -13.40
120.3917,   38.9815,   -13.50
120.4083,   38.9815,   -14.10
120.4250,   38.9815,   -15.10
120.4417,   38.9815,   -15.60
120.4583,   38.9815,   -14.80
120.4750,   38.9815,   -13.50
120.4917,   38.9815,   -12.50
120.5083,   38.9815,   -12.00
120.5250,   38.9815,   -11.50
120.5417,   38.9815,   -11.10
120.5583,   38.9815,   -10.30
120.5750,   38.9815,   -9.00
120.5917,   38.9815,   -7.00
120.6083,   38.9815,   -4.70
120.6250,   38.9815,   -2.70
120.6417,   38.9815,   -0.80
120.6583,   38.9815,   1.40
120.6750,   38.9815,   3.50
120.6917,   38.9815,   5.50
120.7083,   38.9815,   7.40
120.7250,   38.9815,   9.00
120.7417,   38.9815,   9.30
120.7583,   38.9815,   7.90
120.7750,   38.9815,   5.90
120.7917,   38.9815,   4.90
120.8083,   38.9815,   5.00
120.8250,   38.9815,   5.50
120.8417,   38.9815,   5.70
120.8583,   38.9815,   5.60
120.8750,   38.9815,   5.50
120.8917,   38.9815,   5.80
120.9083,   38.9815,   6.60
120.9250,   38.9815,   7.30
120.9417,   38.9815,   7.20
120.9583,   38.9815,   5.90
120.9750,   38.9815,   4.10
120.9917,   38.9815,   3.10
121.0083,   38.9815,   3.70
121.0250,   38.9815,   5.40
121.0417,   38.9815,   6.80
121.0583,   38.9815,   7.10
121.0750,   38.9815,   7.00
121.0917,   38.9815,   6.80
121.1083,   38.9815,   5.70
121.1250,   38.9815,   3.30
121.1417,   38.9815,   2.00
121.1583,   38.9815,   3.50
121.1750,   38.9815,   6.30
121.1917,   38.9815,   7.70
121.2083,   38.9815,   7.30
121.2250,   38.9815,   6.30
121.2417,   38.9815,   6.30
121.2583,   38.9815,   8.00
121.2750,   38.9815,   11.00
121.2917,   38.9815,   14.30
121.3083,   38.9815,   17.50
121.3250,   38.9815,   20.30
121.3417,   38.9815,   22.50
121.3583,   38.9815,   23.70
121.3750,   38.9815,   24.40
